nome,período,valor
GO,1989,1389
RO,1989,329
RO,1989,329
AC,1989,52
AM,1989,290
RR,1989,49
PA,1989,621
AP,1989,40
TO,1989,108
MA,1989,443
PI,1989,309
CE,1989,621
RN,1989,352
PB,1989,390
PE,1989,1320
AL,1989,536
SE,1989,186
BA,1989,1197
MG,1989,2417
ES,1989,662
RJ,1989,3305
SP,1989,7828
PR,1989,2336
SC,1989,1532
RS,1989,1682
MS,1989,502
MT,1989,313
DF,1989,614
AC,1989,52
AM,1989,290
RR,1989,49
PA,1989,621
AP,1989,40
TO,1989,108
MA,1989,443
PI,1989,309
CE,1989,621
RN,1989,352
PB,1989,390
PE,1989,1320
AL,1989,536
SE,1989,186
BA,1989,1197
MG,1989,2417
ES,1989,662
RJ,1989,3305
SP,1989,7828
PR,1989,2336
SC,1989,1532
RS,1989,1682
MS,1989,502
MT,1989,313
GO,1989,1389
DF,1989,614
RO,1990,318
AC,1990,46
AM,1990,275
RR,1990,56
PA,1990,681
AP,1990,64
TO,1990,38
MA,1990,423
PI,1990,181
CE,1990,702
RN,1990,332
PB,1990,400
PE,1990,1342
AL,1990,750
SE,1990,207
BA,1990,733
MG,1990,2279
ES,1990,677
RJ,1990,3847
SP,1990,7886
PR,1990,2356
SC,1990,1444
RS,1990,1715
MS,1990,475
MT,1990,282
GO,1990,966
DF,1990,614
RO,1990,318
AC,1990,46
AM,1990,275
RR,1990,56
PA,1990,681
AP,1990,64
TO,1990,38
MA,1990,423
PI,1990,181
CE,1990,702
RN,1990,332
PB,1990,400
PE,1990,1342
AL,1990,750
SE,1990,207
BA,1990,733
MG,1990,2279
ES,1990,677
RJ,1990,3847
SP,1990,7886
PR,1990,2356
SC,1990,1444
RS,1990,1715
MS,1990,475
MT,1990,282
GO,1990,966
DF,1990,614
DF,1991,603
RO,1991,235
AC,1991,58
AM,1991,261
RR,1991,53
PA,1991,642
AP,1991,82
TO,1991,95
MA,1991,454
PI,1991,200
CE,1991,738
RN,1991,466
PB,1991,456
PE,1991,1316
AL,1991,548
SE,1991,324
BA,1991,666
MG,1991,2307
ES,1991,752
RJ,1991,2829
SP,1991,7958
PR,1991,2367
SC,1991,1360
RS,1991,1730
MS,1991,468
MT,1991,264
GO,1991,1223
DF,1991,603
RO,1991,235
AC,1991,58
AM,1991,261
RR,1991,53
PA,1991,642
AP,1991,82
TO,1991,95
MA,1991,454
PI,1991,200
CE,1991,738
RN,1991,466
PB,1991,456
PE,1991,1316
AL,1991,548
SE,1991,324
BA,1991,666
MG,1991,2307
ES,1991,752
RJ,1991,2829
SP,1991,7958
PR,1991,2367
SC,1991,1360
RS,1991,1730
MS,1991,468
MT,1991,264
GO,1991,1223
RO,1992,255
AC,1992,76
AM,1992,271
RR,1992,77
PA,1992,614
AP,1992,63
TO,1992,108
MA,1992,526
PI,1992,259
CE,1992,728
RN,1992,382
PB,1992,402
PE,1992,1203
AL,1992,573
SE,1992,465
BA,1992,709
MG,1992,2310
ES,1992,643
RJ,1992,1982
SP,1992,7378
PR,1992,2521
SC,1992,1430
RS,1992,1647
MS,1992,466
MT,1992,301
GO,1992,1198
DF,1992,625
RO,1992,255
DF,1992,625
GO,1992,1198
MT,1992,301
MS,1992,466
RS,1992,1647
SC,1992,1430
PR,1992,2521
SP,1992,7378
RJ,1992,1982
ES,1992,643
MG,1992,2310
BA,1992,709
SE,1992,465
AL,1992,573
PE,1992,1203
PB,1992,402
RN,1992,382
CE,1992,728
PI,1992,259
MA,1992,526
TO,1992,108
AP,1992,63
PA,1992,614
RR,1992,77
AM,1992,271
AC,1992,76
PR,1993,2574
RO,1993,276
AC,1993,65
AM,1993,249
RR,1993,70
PA,1993,530
AP,1993,81
TO,1993,136
MA,1993,456
PI,1993,252
CE,1993,798
RN,1993,431
PB,1993,436
PE,1993,1250
AL,1993,520
SE,1993,322
BA,1993,744
MG,1993,2621
ES,1993,709
RJ,1993,1931
SP,1993,7462
PR,1993,2574
SC,1993,1573
RS,1993,1725
MS,1993,538
MT,1993,355
GO,1993,1121
DF,1993,627
DF,1993,627
GO,1993,1121
MT,1993,355
MS,1993,538
RS,1993,1725
SC,1993,1573
SP,1993,7462
RJ,1993,1931
ES,1993,709
MG,1993,2621
BA,1993,744
SE,1993,322
AL,1993,520
PE,1993,1250
PB,1993,436
RN,1993,431
CE,1993,798
PI,1993,252
MA,1993,456
TO,1993,136
AP,1993,81
PA,1993,530
RR,1993,70
AM,1993,249
AC,1993,65
RO,1993,276
RO,1994,244
GO,1994,1297
MT,1994,300
MS,1994,550
RS,1994,1950
SC,1994,1643
PR,1994,2935
SP,1994,7491
RJ,1994,2258
ES,1994,770
MG,1994,2781
BA,1994,907
SE,1994,362
AL,1994,562
PE,1994,1374
PB,1994,433
RN,1994,401
CE,1994,814
PI,1994,270
MA,1994,359
TO,1994,103
AP,1994,85
PA,1994,490
RR,1994,87
AM,1994,324
AC,1994,80
DF,1994,659
RO,1994,244
DF,1994,659
GO,1994,1297
MT,1994,300
MS,1994,550
RS,1994,1950
SC,1994,1643
PR,1994,2935
SP,1994,7491
RJ,1994,2258
ES,1994,770
MG,1994,2781
BA,1994,907
SE,1994,362
AL,1994,562
PE,1994,1374
PB,1994,433
RN,1994,401
CE,1994,814
PI,1994,270
MA,1994,359
TO,1994,103
AP,1994,85
PA,1994,490
RR,1994,87
AM,1994,324
AC,1994,80
DF,1995,747
GO,1995,1284
MT,1995,539
MS,1995,538
RS,1995,2060
SC,1995,1787
PR,1995,2854
SP,1995,8431
RJ,1995,3677
ES,1995,790
MG,1995,3180
BA,1995,922
SE,1995,333
AL,1995,575
PE,1995,1408
PB,1995,523
RN,1995,362
CE,1995,994
PI,1995,246
MA,1995,383
TO,1995,106
AP,1995,76
PA,1995,518
RR,1995,90
AM,1995,377
AC,1995,73
RO,1995,282
RO,1995,282
AC,1995,73
AM,1995,377
RR,1995,90
PA,1995,518
AP,1995,76
TO,1995,106
MA,1995,383
PI,1995,246
CE,1995,994
RN,1995,362
PB,1995,523
PE,1995,1408
AL,1995,575
SE,1995,333
BA,1995,922
MG,1995,3180
ES,1995,790
RJ,1995,3677
SP,1995,8431
PR,1995,2854
SC,1995,1787
RS,1995,2060
MS,1995,538
MT,1995,539
GO,1995,1284
DF,1995,747
PR,1996,3169
RO,1996,297
AC,1996,68
AM,1996,326
RR,1996,98
PA,1996,623
AP,1996,88
TO,1996,116
MA,1996,467
PI,1996,233
CE,1996,1130
RN,1996,380
PB,1996,163
PE,1996,1615
AL,1996,587
SE,1996,324
BA,1996,1179
MG,1996,3457
ES,1996,829
RJ,1996,3795
SP,1996,9232
PR,1996,3169
SC,1996,2000
RS,1996,2241
MS,1996,606
MT,1996,655
GO,1996,1187
DF,1996,680
RO,1996,297
AC,1996,68
AM,1996,326
RR,1996,98
PA,1996,623
AP,1996,88
TO,1996,116
MA,1996,467
PI,1996,233
CE,1996,1130
RN,1996,380
PB,1996,163
PE,1996,1615
AL,1996,587
SE,1996,324
BA,1996,1179
MG,1996,3457
ES,1996,829
RJ,1996,3795
SP,1996,9232
SC,1996,2000
RS,1996,2241
MS,1996,606
MT,1996,655
GO,1996,1187
DF,1996,680
GO,1997,1364
AC,1997,84
AM,1997,345
RR,1997,116
PA,1997,758
AP,1997,91
TO,1997,166
MA,1997,464
PI,1997,226
CE,1997,1210
RN,1997,381
PB,1997,312
PE,1997,1628
AL,1997,678
SE,1997,231
BA,1997,1325
MG,1997,3389
ES,1997,774
RJ,1997,3569
SP,1997,9373
PR,1997,3059
SC,1997,1904
RS,1997,2296
MS,1997,568
MT,1997,591
GO,1997,1364
DF,1997,569
RO,1997,285
AC,1997,84
AM,1997,345
RR,1997,116
PA,1997,758
AP,1997,91
TO,1997,166
MA,1997,464
PI,1997,226
CE,1997,1210
RN,1997,381
PB,1997,312
PE,1997,1628
AL,1997,678
SE,1997,231
BA,1997,1325
MG,1997,3389
ES,1997,774
RJ,1997,3569
SP,1997,9373
RO,1997,285
PR,1997,3059
SC,1997,1904
RS,1997,2296
MS,1997,568
MT,1997,591
DF,1997,569
RO,1998,325
RO,1998,325
AC,1998,78
AM,1998,313
RR,1998,127
PA,1998,793
AP,1998,89
TO,1998,204
MA,1998,439
PI,1998,284
CE,1998,1061
RN,1998,473
PB,1998,428
