municipio,cod_ibge,gentículo,Prefeito [2025],área territorial km²,população (2022),densidade demográfica,população estimada (2024),Escolarização 6 a 14 anos - % (2010),IDH,Mortalidade infantil,Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Aceguá,4300034,aceguaense,MARCUS VINíCIUS GODOY DE AGUIAR,1551.339,4170,2.69,4253,93.9,0.687,-,57543013.61,51950521.35,91994.39
Água Santa,4300059,água-santense,JULIANO FAVRETTO,291.526,3912,13.42,4000,98.5,0.750,-,48003459.76,38818228.70,146445.07
Agudo,4300109,agudense,LUIS HENRIQUE KITTEL,534.624,16041,30.00,16346,96.5,0.694,27.03,106678562.78,100404279.40,40863.53
Ajuricaba,4300208,ajuricabense,PAULO CLAUDIO DOLOVITSCH,322.674,6720,20.83,6848,98.5,0.753,17.24,53776613.08,50769209.93,74961.71
Alecrim,4300307,alecrinense,NEUSA LEDUR KUHN,316.394,6123,19.35,6228,97.1,0.672,-,36298981.20,37054319.71,28383.93
Alegrete,4300406,alegretense,JESSE TRINDADE DOS SANTOS,7800.552,72409,9.28,74329,98.9,0.740,12.08,337040274.70,337982305.50,42485.08
Alegria,4300455,alegriense,FABIO LUCIANO SCHAKOFSKI,172.794,3651,21.13,3711,98.9,0.695,-,37963066.51,32676240.31,47648.88
Almirante Tamandaré do Sul,4300471,tamandarense,DILSE JOSEFINA KLEIN BICIGO,265.042,1969,7.43,2008,100,0.740,-,35073282.74,27827990.82,142847.94
Alpestre,4300505,alpestrense,RUDIMAR ARGENTON,325.979,7117,21.83,7243,98.1,0.671,16.95,83749721.15,66585458.00,33369.8
Alto Alegre,4300554,alto-alegrense,SILMAR DEMAMAN,115.335,1800,15.61,1837,98.1,0.747,-,32611029.17,30510909.20,66755.15
Alto Feliz,4300570,alto-felizense,ROBES SCHNEIDER,78.170,3072,39.30,3143,98.1,0.734,-,41964979.28,39055464.55,53088.35
Alvorada,4300604,alvoradense,DOUGLAS MARTELLO DE SOUZA SILVEIRA,71.702,187315,2612.48,194116,95.3,0.699,15.21,739599914.39,584866277.50,15550.82
Amaral Ferrador,4300638,amaralense,RONIVAN FONTOURA BRAGA,506.109,5310,10.49,5394,98.3,0.624,-,34795858.90,30149100.36,20688.31
Ametista do Sul,4300646,ametistense,GILMAR DA SILVA,93.605,7650,81.64,7822,100,0.682,-,54179815.36,42360620.15,24036.02
André da Rocha,4300661,andré-rochense,FELIPE EDUARDO SEMINOTI JACQUES,331.208,1135,3.43,1157,100,0.720,-,27508051.52,24572244.70,142922.95
Anta Gorda,4300703,anta-gordense,FRANCISCO DAVID FRIGHETTO,242.100,5957,24.61,6080,97.8,0.740,-,51566094.13,41097240.26,54248.7
Antônio Prado,4300802,pradense,ROBERTO JOSé DALLE MOLLE,347.541,13045,37.54,13328,98.6,0.758,-,98287906.21,88539091.54,61154.04
Arambaré,4300851,arambarense,IAGO DOS SANTOS KIELERMANN,518.193,4112,7.94,4211,97.2,0.691,-,42964673.19,35281330.87,80442.31
Araricá,4300877,arariquense,OSEAS GARCIA,35.195,8525,240.88,8794,97.3,0.679,23.26,61910048.90,55358747.02,40484.64
Aratiba,4300901,aratibense,GELSON TARCíSIO CARBONERA,342.279,6483,18.94,6618,98.8,0.772,-,108119908.60,96324730.59,154104.03
Arroio do Meio,4301008,arroio-meense,SIDNEI ECKERT,157.088,21958,139.78,22490,99.8,0.769,15.21,159008412.98,143448068.80,72750.17
Arroio do Sal,4301057,arroiossalense,LUCIANO PINTO DA SILVA,119.160,11057,92.79,11384,98.6,0.740,8,117412705.66,97802615.31,27241.9
Arroio do Padre,4301073,arroio-padrense,JULIANO HOBUSS BUCHWEITZ,124.693,2599,20.84,2651,97.3,0.669,-,29274151.41,25859484.24,25887.92
Arroio dos Ratos,4301107,ratense,DARCI RENATO FEITEN,425.791,14601,34.29,14923,97.6,0.698,7.87,79964673.77,84487260.69,25163.34
Arroio do Tigre,4301206,arroio-tigrense,VANDERLEI HERMES,315.132,12058,38.26,12296,98.2,0.707,-,64816169.46,54118092.11,31911.3
Arroio Grande,4301305,arroio-grandense,PLíNIO VIZEU PEREIRA NETO,2508.557,17558,7.00,17887,98.7,0.657,19.9,115642864.41,103919810.70,62222.04
Arvorezinha,4301404,arvorezinhense,CLOVIS PROVENSI ROMAN,269.310,10322,38.33,10545,97.2,0.694,40.4,68910573.25,60575494.27,32263.13
Augusto Pestana,4301503,augusto-pestanense,SERGIO LUIS NEUBERGER,348.219,7149,20.53,7302,99.7,0.743,11.9,53018544.89,46536831.62,77033.28
Áurea,4301552,aureense,GILMAR CARLOS MUSTEFAGA,156.727,3396,21.67,3460,99.1,0.707,-,34918859.89,32109457.27,46470.87
Bagé,4301602,bageense,LUIZ FERNANDO MAINARDI,4090.360,117938,28.83,121900,97.6,0.740,18.8,568185483.02,646282087.50,30846.53
Balneário Pinhal,4301636,balneário-pinhalense,LUIZ CEZAR DANELLI FURINI,102.387,14955,146.06,15371,97.9,0.696,20.98,110787288.53,83979886.01,21310.39
Barão,4301651,baronense,JEFFERSON SCHUSTER BORN,122.567,6461,51.79,6489,98.7,0.748,16.39,57153998.08,45964436.67,49438.57
Barão de Cotegipe,4301701,cotegipense,FRANCIEL TIAGO IZYCKI,260.505,7144,27.42,7313,98,0.719,-,42275087.15,40540794.54,51643.3
Barão do Triunfo,4301750,baronense,ODONE KLOPPEMBURG,436.101,5889,13.50,5983,98,0.610,-,38095919.37,29744432.81,18850.07
Barracão,4301800,barraconense,LUIZ CARLOS DA SILVA,515.469,4831,9.37,4920,97.7,0.710,-,40753175.12,35967036.85,60546.74
Barra do Guarita,4301859,guaritense,VALCIER BALESTRIN,62.801,3161,50.33,3230,97.9,0.734,-,36311066.40,26335605.04,17394.57
Barra do Quaraí,4301875,barrense,MAHER JABER MAHMUD,1055.937,4241,4.02,4337,97.7,0.662,47.62,43870985.27,36389007.79,91123.36
Barra do Ribeiro,4301909,barrense,JOãO FRANCISCO SILVA FEIJO,729.316,12225,16.76,12475,94.2,0.670,15.27,72059460.91,66955225.23,37126.68
Barra do Rio Azul,4301925,barrazulense,ANDERSON FERNANDO BAGATINI,146.995,1696,11.54,1724,99.1,0.723,-,40740980.81,39053987.31,49813.05
Barra Funda,4301958,barra-fundense,ANDRE SIGNOR,60.437,2498,41.33,2555,100,0.763,-,37049699.30,35634800.46,64388.93
Barros Cassal,4302006,barros-cassalense,JOVIANO ZAGO,647.994,9296,14.35,9442,96.5,0.650,-,55628180.94,50622015.43,21895.98
Benjamin Constant do Sul,4302055,benjaminense,NILTON JOSE VALENTINI,132.351,2082,15.73,2120,98,0.619,-,27176749.10,23345742.83,25630.36
Bento Gonçalves,4302105,bento-gonçalvense,DIOGO SEGABINAZZI SIQUEIRA,272.287,123151,452.28,127775,96.6,0.778,11.02,765378325.01,787939117.30,60918.83
Boa Vista das Missões,4302154,boa-vistense,RUDILBERTO SOARES LANDESFELDT,196.064,1933,9.86,1969,98.5,0.676,-,36437436.86,29487772.68,114288.93
Boa Vista do Buricá,4302204,boa-vistense,JOãO RUDINEI SEHNEM,109.541,6966,63.59,7125,99.6,0.762,-,62331600.06,51107327.38,48701.61
Boa Vista do Cadeado,4302220,cadeadense,JOAO PAULO BELTRAO DOS SANTOS,701.221,2229,3.18,2271,100,0.703,47.62,43512015.61,38772450.67,190085.27
Boa Vista do Incra,4302238,boa vistense do incra,GILMAR LAURINDO BELLINI,504.114,2271,4.50,2315,99,0.731,24.39,41900140.17,33393266.93,146184.34
Boa Vista do Sul,4302253,boavistense,PATRICIA LUCIA BAGATINI,93.108,2779,29.44,2815,99.2,0.728,-,43772746.53,32585462.59,43320.08
Bom Jesus,4302303,bom-jesuense,FREDERICO ARCARI BECKER,2622.837,11202,4.27,11431,95,0.666,10.87,75261826.17,64842258.05,54447.36
Bom Princípio,4302352,bom-principiense,VASCO ALEXANDRE BRANDT,90.023,13142,148.23,13650,97.9,0.746,13.16,116499059.85,111954708.80,62757.39
Bom Progresso,4302378,bom-progressense,NORIMAR LEOPOLDO SCHOSSLER,89.206,2096,23.50,2134,99.1,0.723,35.71,26936997.59,25812545.96,46436.67
Bom Retiro do Sul,4302402,bom-retirense,CELSO PAZUCH,102.540,12294,119.89,12578,99.4,0.739,12.82,72907339.60,62782236.68,32378.99
Boqueirão do Leão,4302451,léo-boqueirense,PAULO JOEL FERREIRA,257.789,6247,23.49,6215,98.6,0.700,16.13,42241462.45,37122581.07,19554.48
Bossoroca,4302501,bossoroquense,JOAO ALBERTO OURIQUE DO NASCIMENTO,1610.056,5890,3.66,5988,96.9,0.692,16.13,59731514.66,56974647.32,79966.92
Bozano,4302584,bozanense,GEDERSON MORI,200.497,2151,10.73,2195,100,0.745,-,29667692.89,23132073.05,108341.64
Braga,4302600,braguense,SADI ENRIQUE DELLA LIBERA,132.044,3268,24.75,3326,92.9,0.674,24.39,31254650.98,26174771.45,40032.87
Brochier,4302659,brochiense,JOSé HENRIQUE DAPPER,105.353,4966,47.14,5079,98,0.699,22.73,41717373.89,37841043.62,22934.5
Butiá,4302709,butiaense,JEFFERSON SALATIEL DA SILVA VIEIRA,752.187,19084,25.37,19433,96.4,0.689,10.2,108305713.24,91904104.44,25919.33
Caçapava do Sul,4302808,caçapavano,MARCELO CORDERO SPODE,3048.147,32515,10.67,33508,99,0.704,7.07,182345777.20,205939729.90,33536.47
Cacequi,4302907,cacequiense,ANA PAULA MENDES MACHADO DELOLMO,2373.507,11157,4.70,11324,96.5,0.700,-,94581581.03,78025172.66,50694.42
Cachoeira do Sul,4303004,cachoeirense,LEANDRO TITTELMAIER BALARDIN,3736.064,80070,21.43,82250,98.7,0.742,16.17,445698703.10,463181410.10,43440.91
Cachoeirinha,4303103,cachoeirinhense,CRISTIAN WASEM ROSA,43.760,136258,3112.48,141303,96,0.757,8.6,776351703.53,619492024.40,48874.53
Cacique Doble,4303202,caciquense,MARCIO CAPRINI,203.582,4603,22.56,4694,99,0.662,-,42755187.02,35885607.13,33294.25
Caibaté,4303301,caibateense,DANIEL SEFFRIN HERTHER,261.280,4704,18.00,4797,98.1,0.719,23.81,44581863.33,42867504.65,55167.67
Caiçara,4303400,caiçarense,ZíLIO ROGGIA,189.071,4836,25.57,4933,97.1,0.699,24.39,35729433.50,32579474.73,32805.41
Camaquã,4303509,camaquense,ABNER DOS SANTOS DILLMANN,1679.242,62200,37.02,63959,96.7,0.697,14.67,315963472.58,307708137.70,40843.08
Camargo,4303558,camarguense,JEANICE DE FREITAS FERNANDES,138.069,2981,21.59,3056,98.1,0.736,-,41155695.63,35754826.13,189265.97
Cambará do Sul,4303608,cambaraense,SCHAMBERLAEN JOSE SILVESTRE,1181.811,6361,5.38,6492,96.4,0.697,-,59464565.39,54473645.06,38003.51
Campestre da Serra,4303673,campestrense,TAIRO BALARDIN,538.487,3242,6.02,3311,100,0.706,45.45,37069880.90,32179228.23,60171.09
Campina das Missões,4303707,campinense,CARLOS JUSTEN,224.792,5882,26.17,6001,98.5,0.738,20.83,43911962.48,42082298.32,44914.25
Campinas do Sul,4303806,campinense,PAULO SERGIO BATTISTI,276.162,5284,19.13,5390,99.4,0.760,-,53742503.26,46444886.97,73663.3
Campo Bom,4303905,campo-bonense,GIOVANI BATISTA FELTES,60.562,62886,1038.08,64704,98.9,0.745,8.49,429128775.59,440082165.10,51443.5
Campo Novo,4304002,campo-novense,PEDRO DOS SANTOS,220.719,4975,22.54,5068,98.6,0.703,13.7,40451928.39,36958289.81,76231.72
Campos Borges,4304101,campos-borgense,CLEONICE PASQUALOTTO DA PAIXãO TOLEDO,226.202,3613,15.97,3693,97.3,0.708,-,42348030.66,32974077.06,45853.46
Candelária,4304200,candelariense,NESTOR RUBEM ELLWANGER,944.735,28906,30.60,29783,97.9,0.674,23.65,180294609.47,147442893.70,34255.3
Cândido Godói,4304309,godoiense,GUERINO BACKES,247.047,6294,25.48,6421,99.1,0.728,-,47330580.94,42346243.57,58702.31
Candiota,4304358,candiotense,LUIZ CARLOS FOLADOR,933.628,10710,11.47,10992,94.9,0.698,-,101010245.10,102839495.90,282683.22
Canela,4304408,canelense,GILBERTO DA CONCEICAO CEZAR,253.002,48946,193.46,50613,97.1,0.748,7.82,311868620.73,284156461.00,34711.89
Canguçu,4304507,canguçuense,ARION LUIZ BORGES BRAGA,3526.316,49680,14.09,50998,96.9,0.650,17.05,273740659.32,229587379.30,29448.32
Canoas,4304606,canoense,AIRTON JOSE DE SOUZA,130.774,347657,2658.15,359554,95.9,0.750,10.94,2150220735.56,2542549000.00,62892.77
Canudos do Vale,4304614,canudense do vale,MAICO JUAREZ BERGHAHN,82.943,1656,19.97,1687,99,0.713,-,26565622.83,23373732.00,40157.66
Capão Bonito do Sul,4304622,capão bonitense,MARIZETE VARGAS PEREIRA RAUTA,526.850,1733,3.29,1769,98.8,0.637,-,38360131.73,31904813.10,210105.78
Capão da Canoa,4304630,caponense,VALDOMIRO DE MATOS NOVASKI,98.383,63594,646.39,66012,95.2,0.743,11.01,531278389.98,434421943.40,35739.83
Capão do Cipó,4304655,cipoense,ADAIR FRACARO CARDOSO,1007.796,3119,3.09,3186,98.9,0.672,-,47474121.77,39334953.42,172220.01
Capão do Leão,4304663,leonense,VILMAR MOTTA SCHMITT,783.196,26487,33.82,27389,95.3,0.637,13.56,122048267.16,118913017.90,32600.83
Capivari do Sul,4304671,capivariense,MARCO ANTONIO MONTEIRO CARDOSO,412.889,3991,9.67,4079,96.4,0.766,20.83,45404745.93,37718428.47,80707.69
Capela de Santana,4304689,capelense,OZIEL CARLEBE RANGEL,182.756,11159,61.06,11416,98.3,0.661,6.85,64712962.01,53884840.60,24508.37
Capitão,4304697,capitanense,MáRCIO ANDRé DA COSTA,73.967,2921,39.49,2991,98.2,0.746,-,40052349.98,39495586.49,34432.45
Carazinho,4304705,carazinhense,JOãO PEDRO ALBUQUERQUE DE AZEVEDO,666.694,61804,92.70,63638,98,0.766,10,399320582.56,396164894.00,61635.35
