Municípios,IBGE,Total de Vítimas
ACEGUA,4300034,0
AGUA SANTA,4300059,1
AGUDO,4300109,2
AJURICABA,4300208,0
ALECRIM,4300307,0
ALEGRETE,4300406,15
ALEGRIA,4300455,0
ALMIRANTE TAMANDARE DO SUL,4300471,0
ALPESTRE,4300505,1
ALTO ALEGRE,4300554,0
ALTO FELIZ,4300570,0
ALVORADA,4300604,48
AMARAL FERRADOR,4300638,1
AMETISTA DO SUL,4300646,2
ANDRE DA ROCHA,4300661,0
ANTA GORDA,4300703,1
ANTONIO PRADO,4300802,7
ARAMBARE,4300851,0
ARARICA,4300877,1
ARATIBA,4300901,0
ARROIO DO MEIO,4301008,3
ARROIO DO PADRE,4301073,0
ARROIO DO SAL,4301057,3
ARROIO DO TIGRE,4301206,1
ARROIO DOS RATOS,4301107,4
ARROIO GRANDE,4301305,0
ARVOREZINHA,4301404,0
AUGUSTO PESTANA,4301503,0
AUREA,4301552,0
BAGE,4301602,19
BALNEARIO PINHAL,4301636,16
BARAO,4301651,0
BARAO DE COTEGIPE,4301701,0
BARAO DO TRIUNFO,4301750,1
BARRA DO GUARITA,4301859,1
BARRA DO QUARAI,4301875,0
BARRA DO RIBEIRO,4301909,2
BARRA DO RIO AZUL,4301925,0
BARRA FUNDA,4301958,0
BARRACAO,4301800,2
BARROS CASSAL,4302006,2
BENJAMIN CONSTANT DO SUL,4302055,0
BENTO GONCALVES,4302105,40
BOA VISTA DAS MISSOES,4302154,0
BOA VISTA DO BURICA,4302204,3
BOA VISTA DO CADEADO,4302220,2
BOA VISTA DO INCRA,4302238,2
BOA VISTA DO SUL,4302253,0
BOM JESUS,4302303,1
BOM PRINCIPIO,4302352,1
BOM PROGRESSO,4302378,0
BOM RETIRO DO SUL,4302402,3
BOQUEIRAO DO LEAO,4302451,2
BOSSOROCA,4302501,0
BOZANO,4302584,0
BRAGA,4302600,0
BROCHIER,4302659,0
BUTIA,4302709,4
CACAPAVA DO SUL,4302808,6
CACEQUI,4302907,6
CACHOEIRA DO SUL,4303004,9
CACHOEIRINHA,4303103,15
CACIQUE DOBLE,4303202,0
CAIBATE,4303301,1
CAICARA,4303400,1
CAMAQUA,4303509,5
CAMARGO,4303558,1
CAMBARA DO SUL,4303608,0
CAMPESTRE DA SERRA,4303673,0
CAMPINA DAS MISSOES,4303707,0
CAMPINAS DO SUL,4303806,3
CAMPO BOM,4303905,5
CAMPO NOVO,4304002,2
CAMPOS BORGES,4304101,1
CANDELARIA,4304200,9
CANDIDO GODOI,4304309,0
CANDIOTA,4304358,1
CANELA,4304408,7
CANGUCU,4304507,5
CANOAS,4304606,72
CANUDOS DO VALE,4304614,0
CAPAO BONITO DO SUL,4304622,1
CAPAO DA CANOA,4304630,20
CAPAO DO CIPO,4304655,0
CAPAO DO LEAO,4304663,0
CAPELA DE SANTANA,4304689,4
CAPITAO,4304697,0
CAPIVARI DO SUL,4304671,0
CARAA,4304713,0
CARAZINHO,4304705,14
CARLOS BARBOSA,4304804,1
CARLOS GOMES,4304853,0
CASCA,4304903,1
CASEIROS,4304952,0
CATUIPE,4305009,0
CAXIAS DO SUL,4305108,74
CENTENARIO,4305116,0
CERRITO,4305124,1
CERRO BRANCO,4305132,0
CERRO GRANDE,4305157,1
CERRO GRANDE DO SUL,4305173,1
CERRO LARGO,4305207,5
CHAPADA,4305306,0
CHARQUEADAS,4305355,2
CHARRUA,4305371,1
CHIAPETTA,4305405,0
CHUI,4305439,1
CHUVISCA,4305447,1
CIDREIRA,4305454,13
CIRIACO,4305504,1
COLINAS,4305587,0
COLORADO,4305603,2
CONDOR,4305702,1
CONSTANTINA,4305801,3
COQUEIRO BAIXO,4305835,1
COQUEIROS DO SUL,4305850,0
CORONEL BARROS,4305871,0
CORONEL BICACO,4305900,0
CORONEL PILAR,4305934,0
COTIPORA,4305959,2
COXILHA,4305975,1
CRISSIUMAL,4306007,0
CRISTAL,4306056,0
CRISTAL DO SUL,4306072,0
CRUZ ALTA,4306106,12
CRUZALTENSE,4306130,0
CRUZEIRO DO SUL,4306205,2
DAVID CANABARRO,4306304,0
DERRUBADAS,4306320,0
DEZESSEIS DE NOVEMBRO,4306353,0
DILERMANDO DE AGUIAR,4306379,0
DOIS IRMAOS,4306403,1
DOIS IRMAOS DAS MISSOES,4306429,0
DOIS LAJEADOS,4306452,0
DOM FELICIANO,4306502,4
DOM PEDRITO,4306601,9
DOM PEDRO DE ALCANTARA,4306551,0
DONA FRANCISCA,4306700,1
DOUTOR RICARDO,4306734,0
DR MAURICIO CARDOSO,4306759,0
ELDORADO DO SUL,4306767,3
ENCANTADO,4306809,3
ENCRUZILHADA DO SUL,4306908,6
ENGENHO VELHO,4306924,0
ENTRE IJUIS,4306957,0
ENTRE RIOS DO SUL,4306932,0
EREBANGO,4306973,0
ERECHIM,4307005,18
ERNESTINA,4307054,0
ERVAL GRANDE,4307203,1
ERVAL SECO,4307302,1
ESMERALDA,4307401,0
ESPERANCA DO SUL,4307450,0
ESPUMOSO,4307500,2
ESTACAO,4307559,1
ESTANCIA VELHA,4307609,6
ESTEIO,4307708,11
ESTRELA,4307807,3
ESTRELA VELHA,4307815,0
EUGENIO DE CASTRO,4307831,0
FAGUNDES VARELA,4307864,0
FARROUPILHA,4307906,7
FAXINAL DO SOTURNO,4308003,0
FAXINALZINHO,4308052,0
FAZENDA VILA NOVA,4308078,1
FELIZ,4308102,0
FLORES DA CUNHA,4308201,1
FLORIANO PEIXOTO,4308250,0
FONTOURA XAVIER,4308300,0
FORMIGUEIRO,4308409,1
FORQUETINHA,4308433,1
FORTALEZA DOS VALOS,4308458,1
FREDERICO WESTPHALEN,4308508,6
GARIBALDI,4308607,9
GARRUCHOS,4308656,0
GAURAMA,4308706,0
GENERAL CAMARA,4308805,0
GENTIL,4308854,0
GETULIO VARGAS,4308904,0
GIRUA,4309001,5
GLORINHA,4309050,2
GRAMADO,4309100,2
GRAMADO DOS LOUREIROS,4309126,0
GRAMADO XAVIER,4309159,1
GRAVATAI,4309209,27
GUABIJU,4309258,0
GUAIBA,4309308,5
GUAPORE,4309407,4
GUARANI DAS MISSOES,4309506,1
HARMONIA,4309555,0
HERVAL,4307104,1
HERVEIRAS,4309571,0
HORIZONTINA,4309605,1
HULHA NEGRA,4309654,2
HUMAITA,4309704,0
IBARAMA,4309753,0
IBIACA,4309803,3
IBIRAIARAS,4309902,0
IBIRAPUITA,4309951,3
IBIRUBA,4310009,0
IGREJINHA,4310108,4
IJUI,4310207,12
ILOPOLIS,4310306,0
IMBE,4310330,3
IMIGRANTE,4310363,0
INDEPENDENCIA,4310405,5
INHACORA,4310413,0
IPE,4310439,0
IPIRANGA DO SUL,4310462,0
IRAI,4310504,1
ITAARA,4310538,1
ITACURUBI,4310553,0
ITAPUCA,4310579,0
ITAQUI,4310603,9
ITATI,4310652,0
ITATIBA DO SUL,4310702,0
IVORA,4310751,0
IVOTI,4310801,1
JABOTICABA,4310850,0
JACUIZINHO,4310876,0
JACUTINGA,4310900,0
JAGUARAO,4311007,0
JAGUARI,4311106,0
JAQUIRANA,4311122,0
JARI,4311130,2
JOIA,4311155,2
JULIO DE CASTILHOS,4311205,0
LAGOA BONITA DO SUL,4311239,0
LAGOA DOS TRES CANTOS,4311270,0
