idade,experiencia,cidade,nivel,bonus,salario
37.0,17,SP,senior,2937.41,60713.24
35.0,4,RJ,junior,2928.7,34505.77
33.0,4,RJ,senior,3251.01,64427.2
44.0,14,SP,junior,3968.55,69963.51
36.0,9,SP,senior,3863.29,48479.38
49.0,9,BH,senior,2536.88,64087.27
55.0,18,BH,junior,1964.94,78299.6
23.0,10,SP,senior,2012.7,61120.66
53.0,4,SP,pleno,2410.56,71416.29
44.0,12,SP,junior,2706.61,55578.45
43.0,8,RJ,pleno,3244.05,59820.36
46.0,2,RJ,junior,2359.23,57953.79
43.0,13,RJ,senior,3224.31,56128.8
43.0,16,SP,senior,3289.63,58522.78
27.0,2,BH,senior,3114.68,43693.18
36.0,11,SP,junior,2097.1,56691.2
58.0,10,RJ,pleno,3374.26,73378.06
,15,RJ,pleno,4665.02,50363.1
29.0,17,SP,junior,3196.72,49338.67
26.0,8,SP,junior,637.54,60612.12
25.0,18,RJ,pleno,3992.7,61111.83
27.0,9,RJ,pleno,2437.8,63774.65
53.0,8,RJ,pleno,4812.57,58862.61
51.0,14,SP,pleno,3093.09,60718.64
56.0,18,RJ,junior,1652.24,56491.15
37.0,12,RJ,junior,1348.24,47242.04
34.0,19,BH,senior,4231.79,59286.08
51.0,14,SP,pleno,3884.72,67245.97
40.0,17,BH,senior,4780.82,65150.55
38.0,3,BH,junior,3008.74,42557.58
40.0,7,RJ,junior,2954.78,62519.25
49.0,17,SP,senior,2693.82,51072.3
47.0,12,RJ,pleno,2473.37,73921.64
58.0,9,SP,pleno,2686.06,63262.7
47.0,15,BH,pleno,3173.97,68962.84
44.0,18,SP,pleno,2324.88,60211.68
30.0,13,RJ,senior,1664.57,59339.45
33.0,8,RJ,senior,3127.9,74958.45
22.0,14,RJ,junior,2307.04,69727.74
22.0,8,SP,pleno,408.45,61178.59
55.0,14,BH,pleno,3442.05,58003.34
53.0,7,BH,pleno,2113.55,42928.25
46.0,12,SP,senior,3529.43,63245.68
22.0,11,RJ,pleno,3510.28,58738.96
37.0,11,BH,senior,3226.87,65539.56
26.0,13,RJ,pleno,4997.45,68578.19
43.0,18,SP,pleno,2889.56,72329.21
50.0,2,RJ,junior,2771.49,63369.93
24.0,15,BH,pleno,3546.94,49536.4
33.0,18,BH,pleno,2955.64,38506.86
47.0,15,RJ,junior,3928.39,51753.0
37.0,19,SP,senior,1984.96,73334.88
58.0,12,RJ,senior,1998.26,78234.91
43.0,13,SP,pleno,3612.65,57620.99
50.0,11,RJ,senior,2068.15,45390.41
35.0,5,BH,pleno,3487.28,53515.86
49.0,1,SP,junior,3296.0,71378.06
26.0,3,SP,junior,2444.41,54089.87
51.0,19,SP,pleno,3293.74,65891.24
26.0,7,BH,junior,2012.33,61685.58
33.0,12,RJ,junior,2200.08,67100.03
37.0,15,BH,pleno,2810.25,78180.11
47.0,5,SP,pleno,3063.14,65897.81
47.0,15,RJ,junior,2757.09,61469.16
42.0,8,BH,senior,3346.49,79283.74
57.0,10,SP,senior,3310.77,63495.52
54.0,16,SP,pleno,4223.49,52070.53
51.0,8,BH,pleno,2923.77,66874.65
58.0,1,BH,senior,3955.65,200000.0
44.0,12,BH,junior,3736.58,56920.98
31.0,5,SP,senior,4835.18,54824.14
26.0,3,BH,senior,2898.19,57017.41
57.0,1,SP,senior,2663.71,54681.11
55.0,4,BH,senior,4006.16,57342.4
52.0,8,SP,pleno,3308.35,51572.03
31.0,3,SP,pleno,4025.33,63861.55
40.0,10,RJ,junior,3573.44,63112.01
53.0,2,BH,junior,1314.59,63452.02
22.0,11,BH,junior,3301.06,59376.31
26.0,10,SP,junior,3248.97,58223.37
25.0,14,SP,senior,3106.49,74420.06
37.0,7,SP,pleno,2894.21,60674.06
45.0,2,RJ,pleno,1726.29,72637.67
37.0,9,RJ,junior,3699.34,50035.84
23.0,16,SP,junior,3299.01,65891.78
49.0,13,BH,senior,3881.57,52652.97
53.0,9,BH,senior,1769.0,54438.48
48.0,4,RJ,junior,3405.71,55880.94
41.0,10,RJ,pleno,2812.27,55254.01
45.0,12,SP,pleno,3115.03,55303.95
33.0,17,BH,pleno,2821.47,72172.75
56.0,14,SP,junior,3434.89,60454.11
54.0,14,RJ,pleno,2869.7,62250.55
54.0,2,BH,senior,2158.47,55428.4
58.0,11,BH,senior,3069.14,68569.39
33.0,16,RJ,junior,2828.66,63550.56
24.0,19,SP,senior,2933.29,56910.71
,6,SP,junior,449.75,44157.16
54.0,19,BH,pleno,3546.11,62162.96
31.0,5,RJ,pleno,2748.27,65756.8
50.0,4,BH,pleno,1921.48,50211.52
34.0,15,RJ,senior,3738.05,57046.05
33.0,4,SP,junior,3509.09,65371.61
52.0,10,RJ,pleno,2738.14,44290.72
23.0,3,SP,junior,2078.26,53511.48
56.0,5,RJ,pleno,3142.42,63769.09
44.0,6,BH,senior,3098.48,71050.18
38.0,8,SP,senior,3739.47,81857.8
47.0,7,BH,junior,2645.01,79586.55
29.0,10,BH,senior,3955.94,61437.69
50.0,6,SP,senior,2567.8,55157.73
47.0,14,SP,junior,1923.33,69231.22
31.0,4,BH,pleno,2094.17,54564.07
47.0,13,BH,senior,2950.07,52379.05
55.0,17,BH,junior,2947.59,56947.34
28.0,7,BH,senior,3262.29,55693.27
25.0,4,SP,senior,2927.7,64126.31
32.0,14,SP,senior,3781.85,53975.98
50.0,3,BH,senior,2791.12,60851.22
57.0,5,RJ,junior,1402.98,75949.53
46.0,16,RJ,junior,2903.12,61221.41
42.0,4,SP,junior,1394.58,75167.42
57.0,2,BH,senior,3217.11,72020.57
31.0,18,BH,senior,3845.75,65920.4
58.0,19,SP,senior,2211.02,56458.47
30.0,19,RJ,junior,4134.85,70405.08
45.0,17,RJ,senior,3674.26,57500.25
56.0,14,RJ,pleno,3965.18,59979.9
56.0,19,SP,senior,3151.65,63301.99
57.0,13,RJ,pleno,2205.79,59946.33
39.0,12,SP,senior,3624.65,52797.32
53.0,6,SP,junior,2500.32,44729.01
45.0,4,BH,senior,3094.31,69591.33
44.0,19,RJ,pleno,2862.92,65703.42
53.0,16,SP,pleno,3899.76,42793.89
58.0,13,RJ,senior,3584.26,52532.13
33.0,4,RJ,pleno,2935.55,61790.65
34.0,17,BH,pleno,1438.71,64425.72
44.0,1,RJ,junior,2491.82,44815.46
46.0,18,BH,senior,3563.38,59107.61
56.0,17,SP,senior,3224.09,65396.55
51.0,15,RJ,senior,1797.42,56484.88
38.0,11,SP,pleno,1554.73,62558.3
41.0,13,RJ,senior,3156.41,55124.48
46.0,1,SP,senior,2154.35,69091.96
43.0,17,RJ,junior,2231.36,52007.14
34.0,6,RJ,junior,3538.09,48579.22
40.0,4,RJ,junior,3961.79,60289.27
57.0,16,RJ,pleno,2399.44,45664.74
33.0,15,RJ,senior,2964.19,38948.89
40.0,15,RJ,junior,2940.6,70837.35
33.0,6,RJ,junior,2868.64,50157.76
30.0,15,RJ,junior,3032.48,46663.48
28.0,14,RJ,senior,3605.2,51882.41
49.0,11,SP,senior,2460.86,51433.49
35.0,7,BH,senior,1779.78,58578.89
52.0,9,RJ,pleno,4352.01,49065.13
40.0,16,BH,pleno,3871.54,64981.86
37.0,5,RJ,junior,2117.09,66462.34
26.0,10,RJ,senior,3108.51,47250.09
56.0,18,SP,junior,3808.56,53819.03
33.0,3,SP,senior,3599.24,54769.43
46.0,13,BH,senior,3369.61,58349.93
42.0,11,SP,senior,2863.82,70826.84
57.0,17,SP,pleno,4381.84,71403.13
44.0,13,BH,pleno,3176.69,84988.67
37.0,6,SP,senior,2588.03,37306.26
35.0,17,RJ,junior,3696.86,50757.04
