País,Posição,IDH 2020,IDH 2021
 Chile,42,0.851,0.855
 Argentina,47,0.840,0.842
 Bahamas,55,0.815,0.812
 Trindade e Tobago,57,0.818,0.81
 Costa Rica,58,0.816,0.809
 Uruguai,58,0.821,0.809
 Panamá,61,0.801,0.805
 Granada,68,0.793,0.795
 Barbados,70,0.788,0.79
 Antígua e Barbuda,71,0.778,0.778
 São Cristóvão e Neves,75,0.779,0.777
 República Dominicana,80,0.766,0.767
 Cuba,83,0.781,0.764
 Peru,84,0.762,0.762
 México,86,0.756,0.758
 Brasil,87,0.758,0.754
 Colômbia,88,0.756,0.752
 São Vicente e Granadinas,89,0.764,0.751
 Equador,95,0.731,0.74
 Suriname,99,0.743,0.73
 Dominica,102,0.722,0.72
 Paraguai,105,0.730,0.717
 Santa Lúcia,106,0.723,0.715
 Guiana,108,0.721,0.714
 Jamaica,110,0.713,0.709
 Bolivia,118,0.694,0.692
 Venezuela,120,0.695,0.691
 Belize,123,0.690,0.683
 El Salvador,125,0.672,0.675
 Nicarágua,126,0.654,0.667
 Guatemala,135,0.635,0.627
 Honduras,137,0.621,0.621
 Haiti,163,0.540,0.535
